Name,Address,Latitude,Longitude
Ak waste Limited,,51.4659699,-0.06187110000000001
London City Waste Clearance,,51.5110088,-0.0721593
Waste Collection Bromley Ltd.,,51.400017,0.0173454
REE Waste,,51.42733639999999,-0.2006246
Waste.London,,51.5138235,-0.1021382
Waste Clearance,,51.4148528,-0.3121752
Waste cleared,,51.4089255,-0.2696269
EC Waste Services,,51.5247842,-0.0957561
Merton Commercial Waste Services,,51.38483009999999,-0.2269824999999999
junkanddisorderly.com,,51.5268138,-0.081936
GOT RUBBISH,,51.3231207,0.0264955
Garbex Recycling,,51.43631449999999,-0.1055836
Westwood Services,,50.7859039,0.04759559999999999
Our Helpful Hands Ltd,,51.4928829,-0.2335865
London Rubbish Ltd,,51.48143959999999,-0.3130985000000001
Rubbish Experts,,51.4444369,-0.126448
Guildford & Woking Rubbish Clearance,,51.2642991,-0.6280617
East Sussex Waste,,50.8398878,0.476228
CUT Rubbish Collection & Waste Disposal,,51.51407220000001,-0.3033944
Smart Waste Disposal,,51.5285163,-0.0587425
PPS Waste Clearance,,51.3905176,0.4816208
Gyr services waste disposal,,51.4359596,0.4368384
All Sussex Rubbish Clearance,,50.8564584,-0.139004
George allens all waste and house clearances,,51.4235876,-0.08824910000000001
M.T Property Services,,51.2350925,0.4955586
Eco Waste Clearance,,51.4705857,-0.1381968
Whatever-Waste Ltd,,51.5272503,-0.08898539999999999
Ace Rubbish Limited,,51.448114,0.09322459999999999
CarCarC,,51.472776,-0.5348109999999999
RJ waste clearance,,50.8268684,-0.061997
Commercial Services Ltd,,51.2805827,0.1396797
Ds rubbish clearance,,51.3805402,-0.054355
London Rubbish Collection,,51.4681159,-0.2534719
Affordable Waste Removal LTD.,,51.4911429,0.1464708
Junk & Disorderly,,51.5318785,-0.060839
"H&M Rubbish (Rubbish Removal & Clearance Services in Wembley, Richmond, Enfield, Twickenham, Fulham & Chelsea)",,51.5244817,0.2169544
